Model Number,Name,Coast Appliances Price,Home Depot Price,Lowes Price,Trail Appliaces Price
ELFW7537AW                    ,Electrolux - 5.2 cu. Ft  Front Load Washer in White                                                 ,1144.99,1145,0,0
DA188                         ,Miele - 30 Inch 330 CFM Blower & Insert Vent in Stainless                                           ,1449,0,0,0
S3MFBN                        ,LG - Styler 3 Hangers + 1 Pants Hanger Steam Clothing Care System in Mirror                         ,1894.98,1895,1895,0
EFDG317TIW                    ,Electrolux - 8 cu. Ft  Gas Dryer in White                                                           ,894.98,0,0,0
MACR214-SS01B                 ,Marvel - 13.9375 Inch Ice Maker in Stainless                                                        ,1974.98,0,0,0
LMC0975ST                     ,LG - 0.9 cu. Ft  Counter top Microwave in Stainless                                                 ,169,0,0,0
WAW285H1UC                    ,Bosch - 2.2 cu. Ft Compact Washer in White - 240V                                                   ,1894.99,1994,1895,0
BU230WW                       ,Broan - 30 Inch 160 CFM Under Cabinet Range Vent in White                                           ,119.98,0,0,0
NNTK922S                      ,Panasonic - NNTK922S Stainless Steel Microwave Trim Kit                                             ,329.99,0,0,0
MVW7230HC                     ,Maytag - 6 cu. Ft  Top Load Washer in Grey                                                          ,1145.98,1145,0,0
SMZPCJB1UC                    ,Bosch - SMZPCJB1UC Powercord with Junction Box in White                                             ,30,32,0,0
MCC4538E II                   ,AEG - 38 Litre Speed Wall Oven in Stainless                                                         ,2394.98,0,0,0
PERFEKT GLASS-ISLAND          ,AEG - 35.4375 Inch 500 CFM Island Range Vent in Stainless                                           ,1594.98,0,0,0
SHXM4AY55N                    ,Bosch - 48 dBA Built In Dishwasher in Stainless                                                     ,994.99,894,0,0
BXB60640                      ,Cyclone - 38.3 Inch 600 CFM Blower and Insert Vent in Stainless                                     ,1622.98,0,0,0
JF42NXFXDE                    ,Jennair - 41.8 Inch 24.2 cu. ft Built In / Integrated Refrigerator in Panel Ready                   ,13899,0,0,0
SBE1-142-L                    ,DCS - 2 Burner Liquid Propane BBQ in Stainless                                                      ,1949.98,0,0,0
FFTR1835VW                    ,Frigidaire - 30 Inch 18.3 cu. ft Top Mount Refrigerator in White                                    ,944.98,0,0,0
BXT130BLC                     ,Broan - 30 Inch 270 CFM Under Cabinet Range Vent in Black                                           ,148.98,0,0,0
KUIX535HPA                    ,KitchenAid - 14.875 Inch 15 cu. ft Ice Maker Refrigerator in Panel Ready                            ,2495.98,2495,2495,0
DVE45R6300V                   ,Samsung - 7.5 cu. ft  Electric Dryer in Black Stainless                                             ,1094.99,1095,0,0
PERFEKT GLASS-30              ,AEG - 30 Inch 500 CFM Wall Mount and Chimney Range Vent in Stainless                                ,1074.98,0,0,0
T24UR910DS                    ,Thermador - 23.875 Inch 5 cu. ft Built In / Integrated Refrigerator in Stainless                    ,5959.96,0,0,0
RC472705                      ,Gaggenau - 29.75 Inch 16.8 cu. ft Built In / Integrated Refrigerator in Panel Ready                 ,11369,0,0,0
LRFCS2503S                    ,LG - 32.8 Inch 25.1 cu. ft French Door Refrigerator in Stainless                                    ,1994.99,1995,1995,0
PERFEKT INSERT-36             ,AEG - 35.4375 Inch 340 CFM Blower & Insert Vent in Stainless                                        ,664.98,0,0,0
BCSM130WH                     ,Broan - 30 Inch 375 CFM Under Cabinet Range Vent in White                                           ,304.98,0,0,0
HEZ8TK30UC                    ,Bosch -  Range Legs in Black Stainless                                                              ,319.98,0,0,0
NE63A6511SW                   ,Samsung - 6.3 cu. ft  Electric Range in White                                                       ,1194.98,0,0,0
DA186                         ,Miele - 23.625 Inch 330 CFM Blower & Insert Vent in Stainless                                       ,1349,0,0,0
DA3466                        ,Miele - 23.5 Inch 625 CFM Under Cabinet Range Vent in Stainless                                     ,1849,0,0,0
WTW6120HW                     ,Whirlpool - 5.5 cu. Ft  Top Load Washer in White                                                    ,995.98,995,0,0
MD24WS                        ,Thermador - 1.2 cu. Ft  Built In Microwave in Stainless                                             ,3199,0,0,0
DUF167A4WDD                   ,Danby - 16.7 cu. Ft  Upright Freezer in White                                                       ,1294.98,0,0,0
SCB51430                      ,Cyclone - 29.5 Inch 550 CFM Wall Mount and Chimney Range Vent in Stainless                          ,950.98,0,0,0
MLCR215-SS01B                 ,Marvel - 34.25 Inch Ice Maker in Stainless                                                          ,3174.98,0,0,0
MVW6200KW                     ,Maytag - 5.5 cu. Ft  Top Load Washer in White                                                       ,995.98,895,0,0
NIT8660UC                     ,Bosch - 37 inch wide Induction Cooktop in Black                                                     ,3494.99,3544,0,0
KSM150PSBK                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in Black                                                      ,624.98,0,0,0
WT7305CW                      ,LG - 5.6 cu. Ft  Top Load Washer in White                                                           ,1044.98,0,0,0
JUIFN15HX                     ,Jennair - 15 cu. Ft  Under Counter Ice Maker Freezer in Stainless                                   ,3599,0,0,0
FFCD2413UW                    ,Frigidaire - 60 dBA Built In Dishwasher in White                                                    ,479.99,0,0,0
WMC11009AS                    ,Whirlpool - 0.9 cu. Ft  Counter top Microwave in Black Stainless                                    ,169.98,169.99,0,0
LSE4611ST                     ,LG - 6.3 cu. ft  Electric Range in Stainless                                                        ,1795.99,0,0,0
JCAS300DMWW                   ,GE - 2.9 cu. ft  Electric Range in White                                                            ,794.98,794,0,0
CP55IQ369SB                   ,Best - 34.38 Inch 800 CFM Blower & Insert Vent in Stainless                                         ,2429.98,0,0,0
PDT715SYNFS                   ,GE Profile - 45 dBA Built In Dishwasher in Stainless                                                ,994.98,994,0,0
MD30WS                        ,Thermador - 1.2 cu. Ft  Built In Microwave in Stainless                                             ,3319,0,0,0
W4114C.T                      ,Asko - 2.8 cu. Ft  Front Load Washer in Titanium                                                    ,3619.98,0,0,0
MACP215-IS01B                 ,Marvel - 14.875 Inch Ice Maker in Panel Ready                                                       ,4514.98,0,0,0
CAD1-48E                      ,"DCS - 48"" Cad Grill Cart                                                                            ",3518.98,0,0,0
PERFEKT GLIDE-36-1            ,AEG - 35.5 Inch 300 CFM Under Cabinet Range Vent in Stainless                                       ,664.98,0,0,0
ELFW4222AW                    ,Electrolux - 2.4 cu. Ft  Compact Washer in White                                                    ,1394.98,1395,1395,0
B30IB905SP                    ,Bosch - 29.75 Inch 16 cu. ft Built In / Integrated Refrigerator in Panel Ready                      ,10394.99,0,0,0
HWO130PCR                     ,Dacor  - 4.8 cu. ft Single Wall Oven in Red                                                         ,6400,0,0,0
WA50A5400AV                   ,Samsung - 5.8 cu. Ft  Top Load Washer in Black                                                      ,944.98,945,0,0
WOC75EC0HV                    ,Whirlpool - 6.4 cu. ft Combination Wall Oven in Black Stainless                                     ,4295.98,0,4295,0
FFFU13F2VW                    ,Frigidaire - 13 cu. Ft  Upright Freezer in White                                                    ,894.98,894,0,0
WRT318FZDW                    ,Whirlpool - 29.75 Inch 18.15 cu. ft Top Mount Refrigerator in White                                 ,1144.99,0,0,0
WM3998HBA                     ,LG - 5.2 cu. Ft  Front Load All-In-One Washer/Dryer in Black Stainless                              ,2495.98,0,2495,0
DRW24980RAP                   ,Dacor - 23.75 Inch 100 Bottles Wine Fridge Refrigerator in Panel Ready                              ,10235,0,0,0
MB30WS                        ,Thermador - 1.6 cu. Ft  Built In Microwave in Stainless                                             ,2859,0,0,0
KUID308HPS                    ,KitchenAid - 17.875 Inch 18 cu. ft Ice Maker Refrigerator in Stainless                              ,2395.98,2395,2395,0
DOC30M977DS                   ,Dacor - 6.7 cu. ft Combination Wall Oven in Stainless                                               ,10475,0,0,0
HEZ9TK36UC                    ,Bosch -  Range Legs in Stainless                                                                    ,269.98,0,0,0
EPR628S1                      ,Elica - 28 Inch 600 CFM Blower & Insert Vent in Stainless                                           ,1059.99,0,0,0
BU230BL                       ,Broan - 30 Inch 160 CFM Under Cabinet Range Vent in Black                                           ,119.98,0,0,0
ELFE422CAW                    ,Electrolux - 4 cu. Ft  Compact Dryer in White                                                       ,1194.98,1195,0,0
RW466765                      ,Gaggenau - 24 Inch 13.7 cu. ft Wine Fridge Refrigerator in Panel Ready                              ,12789,0,0,0
BXT130WWC                     ,Broan - 30 Inch 270 CFM Under Cabinet Range Vent in White                                           ,148.98,0,0,0
BFGC-30BGD-L                  ,DCS - 3 Burner Liquid Propane BBQ in Stainless                                                      ,2725.55,0,0,0
MZF34X16DW                    ,Maytag - 16 cu. Ft  Upright Freezer in White                                                        ,1295.98,0,0,0
B3007BLG                      ,AEG - 120 Litre Single Wall Oven in Stainless                                                       ,3244.98,0,0,0
SHEM63W55N                    ,Bosch - 44 dBA Built In Dishwasher in Stainless                                                     ,1290.98,1244,0,0
NNSG656W                      ,Panasonic - 1.3 cu. Ft  Counter top Microwave in White                                              ,199.98,0,0,0
EFMC627UIW                    ,Electrolux - 8 cu. Ft  Electric Dryer in White                                                      ,1149.96,0,0,0
FDSH4501AS                    ,Frigidaire - 49 dBA Built In Dishwasher in Stainless                                                ,794.98,794,0,0
AXE-PZA-PEEL                  ,Alfresco - Pizza Peel in Stainless                                                                  ,119.98,0,0,0
